census_tract_fips,fraction_assisted_income,fraction_high_school_edu,median_income,fraction_no_health_ins,fraction_poverty,fraction_vacant_housing,dep_index
01001020100,0.133333333333333,0.905602455871067,58625,0.0925637025481019,0.113364534581383,0.0179717586649551,0.32558136639583
01001020200,0.216968011126565,0.83021483021483,43531,0.104338275672707,0.178767876787679,0.156103286384977,0.429251896364886
01001020300,0.137345679012346,0.872402327514547,51875,0.0342840679919332,0.150460299194476,0.0722977809591983,0.338486579052057
01001020400,0.0597925564368517,0.940411700975081,54050,0.0284885254550251,0.0284521012790394,0.122121049812534,0.261296820054594
01001020500,0.0812170579779588,0.928835080466558,72417,0.0424986652429258,0.15150890925945,0.0699643493761141,0.287452485434157
01001020600,0.168168168168168,0.832993890020367,46688,0.149039761969164,0.215776633233939,0.0573248407643312,0.427607257513458
01001020700,0.274841437632135,0.783010563380282,42689,0.162323157110946,0.305021234074444,0.0200276243093923,0.504232443615312
01001020801,0.154598825831703,0.942958101968703,79590,0.0513003206270039,0.089171974522293,0.165032679738562,0.293579250487442
01001020802,0.0900219565747744,0.919497191762503,75793,0.0576805785484012,0.137292079634577,0.0440764925373134,0.287955111625961
01001020900,0.154880694143167,0.895667951916534,62216,0.0579596937978441,0.0981096703640056,0.0675566343042071,0.319061091239109
01001021000,0.143137254901961,0.82983682983683,48469,0.0541176470588235,0.22668240850059,0.237668161434978,0.407843098752991
01001021100,0.173584905660377,0.763072651550208,30048,0.122920203735144,0.241086587436333,0.242424242424242,0.488051654315418
01003010100,0.0808729139922978,0.755998648191957,41655,0.0747575112372841,0.101924447612259,0.314562252529696,0.400994322434132
01003010200,0.128070175438597,0.855889145496536,33953,0.128437398900032,0.201997422680412,0.107282693813626,0.416249683034911
01003010300,0.0551839464882943,0.908661948095719,62857,0.0663281840769148,0.0641543292956483,0.0720049658597145,0.280030717846485
01003010400,0.0755580995993131,0.875197472353871,52538,0.105173150919196,0.123343309106456,0.172037914691943,0.352105706290697
01003010500,0.1442417331813,0.898330804248862,49236,0.0841256717651922,0.143301534632932,0.0986639260020555,0.356125663946453
01003010600,0.292929292929293,0.694389763779528,30453,0.208415147265077,0.277184886068647,0.233638282899367,0.586090550488544
01003010701,0.0148148148148148,0.954675652906487,85344,0.0685196374622356,0.0478774722624216,0.0689655172413793,0.227092810945662
01003010703,0.0443442861296889,0.9484375,91015,0.0934249065750934,0.0208448998132539,0.0242587601078167,0.22787845065235
01003010704,0.0427350427350427,0.975629139072848,70188,0.0711725550435228,0.133843537414966,0.114055844770469,0.276111762972107
01003010705,0.0382404398900275,0.962204487276013,59601,0.0542958185978781,0.141822695769111,0.117166813768756,0.285854582570438
01003010800,0.0489025798998845,0.913437236731255,61650,0.0475910693301998,0.0826968272620447,0.139496355202121,0.284516396510764
01003010903,0.101675977653631,0.787412923372568,53853,0.131778309409888,0.124824964992999,0.139423076923077,0.392127198947602
01003010904,0.0968439256377,0.78503046127067,52051,0.120962532299742,0.170219638242894,0.226162596186015,0.413318647409673
01003010905,0.117351463198345,0.84960331148672,47694,0.177723378212974,0.160097919216646,0.0961795351322469,0.406905463192626
01003010906,0.128397917871602,0.864548996104285,44473,0.162241311987505,0.155341712490181,0.0933403251179864,0.400816568858294
01003011000,0.0771746239372139,0.760869565217391,37014,0.158909574468085,0.216666666666667,0.194839389152185,0.455412240634619
01003011101,0.0487179487179487,0.949242625564709,69884,0.0362830256967065,0.0550658791458428,0.0566037735849057,0.241959201317445
01003011102,0.069197795468463,0.927452316076294,64851,0.0572405929304447,0.0722919042189282,0.131382978723404,0.282410689578372
01003011201,0.0873138161273755,0.957434229973396,61795,0.0645612632420548,0.158904657205677,0.210141987829615,0.319759072785124
01003011202,0.0519598906107566,0.896674849363981,54314,0.0765727778714792,0.0549839770618991,0.293625241468126,0.320728864126901
01003011300,0.0420711974110032,0.966712517193948,77931,0.0523848348960457,0.0434870961186751,0.263408820023838,0.255387897733113
01003011401,0.0848618244069455,0.889124793583392,53149,0.11464516700629,0.113761305195957,0.250687190764156,0.360625160582603
01003011403,0.11272365805169,0.955053449951409,48694,0.108664973186565,0.079029071408411,0.175815172865804,0.330731323269583
01003011405,0.0297079556898288,0.955644090305445,84137,0.056595653109533,0.0669248977835163,0.756915544675643,0.319469696218487
01003011406,0.0945757997218359,0.906986899563319,60061,0.140735958683021,0.0557175251052802,0.809233218360308,0.41413129002613
01003011407,0.0423171733771569,0.97441915043417,47500,0.127035175879397,0.162010050251256,0.675769282003463,0.400554078827865
01003011408,0,0.992700729927007,76250,0.0758064516129032,0.133870967741936,0.904373610081542,0.353576615660927
