census_tract_id_2020,fraction_poverty,fraction_snap,fraction_insured,median_income,fraction_hs,fraction_vacant,dep_index
06077003406,0.232,0.282,0.904,42000,0.673,0.061,0.4841758431001213
06077004402,0.092,0.132,0.924,102000,0.773,0.061,0.30278937303276854
06077004600,0.1,0.117,0.904,98900,0.807,0.069,0.30038102213677326
06077001400,0.182,0.215,0.955,56000,0.838,0.115,0.3685039061662093
06077003106,0.09,0.074,0.985,91600,0.866,0,0.23321565005321448
06077001700,0.356,0.393,0.95,31300,0.649,0.128,0.5655362743441682
06077000401,0.215,0.184,0.95,63700,0.817,0.126,0.37377243128978366
06077003404,0.256,0.27,0.904,56700,0.696,0.03,0.46485161639748473
37037020600,0.071,0.059,0.925,61000,0.907,0.159,0.27467713399639565
37105030102,0.031,0.069,0.892,103000,0.933,0.051,0.22022940840135954
02110000100,0.053,0.031,0.961,129000,0.981,0.093,0.15789105522560268
05107480500,0.44,0.374,0.918,24600,0.882,0.324,0.5490799857231975
02020001731,0.075,0.145,0.904,81200,0.857,0.078,0.29963178958202463
02020002822,0.029,0.016,0.94,158000,0.977,0.072,0.12785669161803204
02122000800,0.153,0.157,0.867,58800,0.908,0.384,0.37907138298386495
02122001100,0.138,0.093,0.856,81600,0.927,0.263,0.3198011629732388
02170000300,0.088,0.122,0.873,96800,0.957,0.088,0.26291029468608573
12031013200,0.096,0.132,0.969,60300,0.978,0,0.24691883894027086
12031011600,0.393,0.304,0.936,37000,0.831,0.131,0.4909062384746723
12031012000,0.271,0.201,0.918,56500,0.887,0.111,0.38964050248691645
12031014500,0.193,0.133,0.839,57700,0.758,0.029,0.405647574020625
39125960400,0.112,0.114,0.931,56600,0.887,0.128,0.30901886683723084
29047021103,0.076,0.029,0.95,90900,0.94,0.048,0.20937628284726714
29047021204,0.157,0.127,0.857,64100,0.902,0,0.32854708799185856
29165030002,0.232,0.134,0.8,48100,0.932,0.05,0.3850574368396358
15003002003,0.149,0.061,0.897,58800,0.931,0.361,0.3280103985630077
15003011105,0.021,0.048,0.981,142000,0.965,0.129,0.14376431231928305
15003010601,0.032,0.144,0.988,130000,0.922,0.083,0.19244988810954217
15003010903,0.055,0.069,0.969,123000,0.991,0.017,0.15982829586328362
15003004900,0.052,0.082,0.97,82900,0.875,0.038,0.23729454511048167
15003001400,0.064,0.07,0.98,130000,0.943,0.061,0.17432985654329697
13101880100,0.243,0.198,0.844,44600,0.824,0.257,0.4545079645558887
13185011100,0.206,0.154,0.882,57500,0.956,0.115,0.3440950385022097
13277960700,0.208,0.268,0.875,50400,0.906,0.082,0.40001274255693225
15007940000,0.082,0.18,0.957,94400,0.937,0.044,0.25113623174481103
12047960300,0.154,0.373,0.861,54800,0.902,0.186,0.4281953251842631
39171950700,0.112,0.11,0.961,63300,0.935,0.048,0.2659681375435798
47051960700,0.131,0.027,0.948,72500,0.954,0.201,0.25583032570063435
02198940100,0.155,0.279,0.865,69500,0.914,0.098,0.3727288257669645
20009971500,0.046,0.055,0.926,64500,0.928,0.146,0.2534828901541845
20009971700,0.154,0.145,0.771,49900,0.731,0.272,0.4648177357651004
20209040900,0.044,0.108,0.722,70900,0.746,0.149,0.39899057064760135
20209041600,0.098,0.151,0.64,59900,0.718,0.258,0.4904649189957325
20209042800,0.275,0.305,0.901,51300,0.855,0.064,0.4376592158201133
20209045100,0.207,0.153,0.811,46000,0.901,0.059,0.39169267910759514
26035001000,0.151,0.125,0.816,42500,0.85,0.41,0.42366547506028523
02185000200,0.16,0.24,0.814,83400,0.831,0.221,0.4117287013877449
20103070300,0.1,0.126,0.837,83300,0.956,0.096,0.2937421101304946
22033004201,0.418,0.183,0.917,34100,0.861,0.122,0.4614970287308761
22033002300,0.054,0.04,0.981,82900,0.994,0.143,0.19366265099751506
22033001104,0.545,0.538,0.733,21300,0.75,0.343,0.7487323146367209
26091061302,0.261,0.229,0.912,39900,0.836,0.138,0.43099413525919483
26125161200,0.033,0.048,0.974,105000,0.937,0.029,0.17918076998489021
26125161400,0.148,0.175,0.969,43700,0.946,0.084,0.310975262101502
26125196200,0.095,0.023,0.9,109000,0.939,0.069,0.21961888587541703
26125122700,0.047,0.049,0.985,87600,0.91,0.031,0.20392249043214025
26125145300,0.087,0.124,0.952,74900,0.944,0.054,0.25316846229650214
26125168800,0.033,0.035,0.985,180000,0.973,0.049,0.09860313958646028
26125170300,0.029,0.039,0.935,112000,0.978,0.048,0.17200535196123326
26125150400,0.036,0.028,0.985,179000,0.971,0.017,0.09533948249229464
26125150800,0.035,0.032,0.978,145000,0.991,0.072,0.1269044800878558
26125134300,0.062,0.036,0.958,106000,0.95,0.045,0.18758511622325855
26125173000,0.095,0.081,0.91,82800,0.959,0.111,0.25326668190672386
26125188100,0.034,0.034,1,166000,0.993,0.019,0.09475207181113372
26125193500,0.227,0.248,0.935,67500,0.88,0.017,0.3652887650303548
26125167900,0.063,0.024,0.95,131000,0.985,0,0.14938664800309395
26125141300,0.11,0.147,0.851,39900,0.879,0.053,0.35541683314935313
26125191100,0.032,0.036,0.908,76100,0.987,0.02,0.2058419549746707
26125193100,0.072,0.07,0.98,112000,0.969,0.015,0.17804327945055884
26125183900,0.096,0.024,0.984,116000,0.994,0.084,0.166991735649935
26163583200,0.22,0.204,0.86,53100,0.757,0.13,0.4436557938579108
26163562400,0.016,0.013,0.989,121000,0.987,0.053,0.13034647662983112
26163541500,0.262,0.421,0.872,40900,0.857,0.179,0.4996500782828268
26163507400,0.539,0.401,0.938,37600,0.85,0.353,0.5852917987220341
26163584400,0.103,0.162,0.944,54600,0.889,0.057,0.30839956200481733
26163564300,0.036,0.02,0.981,114000,0.942,0.067,0.1644495119526727
26163556900,0.013,0.038,0.993,106000,0.963,0.022,0.1523842351265311
26163539200,0.168,0.176,0.913,41900,0.962,0.046,0.33002489178514555
26163506900,0.409,0.398,0.85,31600,0.779,0.139,0.5782667897060653
26163583400,0.089,0.119,0.913,69500,0.903,0.041,0.2833590193278862
26163572000,0.157,0.218,0.941,84700,0.929,0.046,0.30380193377276926
26163569500,0.041,0.045,0.959,62600,0.901,0.035,0.23472370683064417
26163555600,0.149,0.108,0.925,89800,0.988,0.016,0.24692009319396038
26163504300,0.251,0.522,0.959,41900,0.857,0.291,0.506268206511853
26163574600,0.135,0.098,0.955,99500,0.918,0.034,0.2458304446625146
26163572100,0.152,0.197,0.944,70300,0.898,0.033,0.3158332855668385
26163584300,0.178,0.171,0.951,56600,0.865,0.057,0.3393926793231562
26163535100,0.336,0.545,0.92,33000,0.836,0.309,0.5716795867321212
26163500900,0.442,0.401,0.94,30900,0.766,0.25,0.5748011251015136
26163595000,0.098,0.142,0.949,61700,0.92,0.129,0.29094096331314695
26163577100,0.386,0.305,0.911,40900,0.665,0.071,0.543524550305856
26163531700,0.354,0.289,0.86,28200,0.814,0.553,0.563065032120239
26163566400,0.221,0.249,0.886,43800,0.954,0.132,0.38981098428428324
26163531400,0.424,0.239,0.858,36900,0.899,0.379,0.5160491226468474
26163554600,0.077,0.12,0.97,83100,0.927,0.054,0.24096312740754433
26163552300,0.331,0.419,0.926,47100,0.71,0.111,0.5381634277232946
26163525700,0.261,0.302,0.729,45100,0.59,0.078,0.59063782108183
26163546700,0.226,0.438,0.903,37400,0.748,0.156,0.518444736657641
26163546100,0.399,0.474,0.964,36900,0.678,0.116,0.5826800645367712
26163545200,0.508,0.542,0.958,29700,0.762,0.233,0.631977689527494
26163517500,0.526,0.531,0.992,20200,0.832,0.101,0.5915151042910193
26163557700,0.028,0.044,0.968,117000,0.963,0.051,0.16229329531319792
26163542100,0.392,0.513,0.884,35700,0.887,0.106,0.5509320386268665
26099226400,0.028,0.033,0.969,127000,0.875,0,0.17391719270490538
26099261700,0.222,0.139,0.913,48600,0.94,0.04,0.33777370052619754
26099240300,0.04,0.238,0.971,85000,0.942,0.038,0.25500807388117736
26099241400,0.048,0.054,0.959,79800,0.944,0,0.2068024745946533
26099258900,0.215,0.179,0.917,72600,0.82,0.127,0.37597613480219017
26099255400,0.098,0.063,0.959,80000,0.915,0.057,0.24192102934299325
26099256500,0.035,0.104,0.911,78000,0.91,0,0.2478001857744551
26099250500,0.071,0.04,0.935,92700,0.961,0.076,0.21114490351929405
26099225701,0.148,0.142,0.883,66800,0.889,0.038,0.32702282029169844
26099230300,0.125,0.144,0.97,75600,0.896,0.071,0.2824057360410819
26099231800,0.111,0.173,0.97,74500,0.84,0.004,0.2984181812233089
26099231900,0.049,0.131,0.936,79400,0.881,0.006,0.26048993074033855
26099260000,0.054,0.094,0.947,96600,0.932,0,0.21492141789722574
26111290100,0.276,0.2,0.948,41400,0.956,0.128,0.3715204814393241
26145000100,0.579,0.555,0.963,20100,0.967,0.293,0.6034329623593785
26145001800,0.302,0.605,0.932,35100,0.706,0.163,0.5990027520356002
26147644000,0.072,0.148,0.952,63900,0.898,0.13,0.2887711258971451
26147631600,0.069,0.04,0.991,74800,0.946,0.215,0.22608551758032358
22005030102,0.042,0.13,0.964,82400,0.919,0.113,0.24473115962188274
22057021800,0.193,0.254,0.946,47100,0.727,0.078,0.4273715716593882
22057020100,0.149,0.173,0.947,49400,0.878,0.148,0.34411462190894054
26017281000,0.256,0.135,0.947,53000,0.909,0.156,0.35533083511083396
26017285100,0.049,0.097,0.989,76200,0.989,0.017,0.19880945885082685
26049011212,0.026,0.116,0.921,64000,0.907,0.056,0.26395857461872557
26049000300,0.333,0.5,0.986,38500,0.841,0.176,0.5116886944021907
26049001200,0.155,0.148,0.974,56600,0.941,0.188,0.30624692083101823
26049003800,0.117,0.227,0.855,47100,0.904,0.244,0.38748938186254867
26049010501,0.318,0.382,0.902,36600,0.877,0.154,0.48947434972621207
